epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,1376.54,1.13215,0.59558,0.96552,0.99668,0.975,0.99343,0.78148,0.79891,0.37992,0.90279,0.00091445,0.00091445,0.00091445
116,1388.41,1.09665,0.58448,0.96867,0.99947,0.97917,0.99328,0.77725,0.81223,0.37774,0.90818,0.000907848,0.000907848,0.000907848
117,1400.23,1.1106,0.5868,0.96598,0.99707,0.97917,0.99352,0.78076,0.78139,0.38258,0.91058,0.000901247,0.000901247,0.000901247
118,1412.17,1.09482,0.58088,0.96771,0.99869,0.98218,0.99436,0.78156,0.81809,0.37738,0.91416,0.000894646,0.000894646,0.000894646
119,1423.99,1.09832,0.57755,0.96612,0.99842,0.97917,0.99447,0.79015,0.77883,0.36811,0.90171,0.000888044,0.000888044,0.000888044
120,1435.92,1.09998,0.57519,0.96235,0.99814,0.97917,0.9942,0.78776,0.78364,0.37405,0.90191,0.000881443,0.000881443,0.000881443
121,1448.02,1.11978,0.58401,0.97295,0.99848,0.98261,0.99429,0.7862,0.80816,0.3788,0.90859,0.000874842,0.000874842,0.000874842
122,1460.21,1.09733,0.57206,0.9666,0.99906,0.97917,0.99405,0.78756,0.79542,0.36606,0.90879,0.00086824,0.00086824,0.00086824
123,1472.27,1.09292,0.57278,0.96659,0.99355,0.9875,0.99467,0.78887,0.77505,0.36003,0.89924,0.000861639,0.000861639,0.000861639
124,1484.39,1.09694,0.572,0.96886,0.99411,0.98425,0.99459,0.79412,0.77955,0.3604,0.90125,0.000855038,0.000855038,0.000855038
125,1496.29,1.1189,0.57683,0.96397,0.99183,0.9875,0.99447,0.78609,0.77819,0.36151,0.89849,0.000848436,0.000848436,0.000848436
126,1508.16,1.09116,0.56559,0.95534,0.99882,0.97917,0.99403,0.8003,0.76528,0.35987,0.89714,0.000841835,0.000841835,0.000841835
127,1520.03,1.09253,0.57403,0.96485,0.99835,0.97917,0.99409,0.78968,0.81517,0.37857,0.91761,0.000835234,0.000835234,0.000835234
128,1531.86,1.07218,0.55857,0.95325,0.99966,0.97837,0.99447,0.78293,0.77615,0.36507,0.90303,0.000828632,0.000828632,0.000828632
129,1543.67,1.10021,0.57401,0.96095,0.98975,0.97917,0.99079,0.79205,0.77889,0.37298,0.90141,0.000822031,0.000822031,0.000822031
130,1555.59,1.0793,0.5644,0.95837,0.99861,0.9791,0.994,0.78024,0.79204,0.37103,0.9067,0.00081543,0.00081543,0.00081543
131,1567.46,1.08649,0.5655,0.96104,0.99985,0.97454,0.99342,0.78364,0.80149,0.37579,0.90448,0.000808828,0.000808828,0.000808828
132,1579.42,1.06606,0.55346,0.95222,0.99406,0.98269,0.99424,0.78024,0.80418,0.36219,0.90724,0.000802227,0.000802227,0.000802227
133,1591.44,1.07525,0.56135,0.9592,0.99288,0.98655,0.99425,0.79204,0.78759,0.36561,0.90173,0.000795626,0.000795626,0.000795626
134,1603.28,1.09991,0.57311,0.96231,0.99954,0.98281,0.9942,0.78347,0.81196,0.36407,0.90858,0.000789024,0.000789024,0.000789024
135,1615.12,1.06785,0.56246,0.9607,0.99801,0.97865,0.99427,0.78418,0.79642,0.35855,0.90367,0.000782423,0.000782423,0.000782423
136,1626.96,1.09615,0.56252,0.95824,0.99743,0.97839,0.99382,0.79593,0.79024,0.36876,0.90274,0.000775822,0.000775822,0.000775822
137,1638.81,1.07584,0.56016,0.95326,0.99776,0.9875,0.9946,0.78576,0.80142,0.37862,0.90696,0.00076922,0.00076922,0.00076922
138,1650.7,1.0435,0.5436,0.9479,0.99851,0.9763,0.99394,0.78737,0.78412,0.36894,0.90014,0.000762619,0.000762619,0.000762619
139,1662.52,1.07488,0.54989,0.95586,0.99854,0.99006,0.99472,0.78874,0.80788,0.36418,0.90399,0.000756018,0.000756018,0.000756018
140,1674.42,1.07416,0.55468,0.95886,0.99897,0.97917,0.99327,0.79435,0.77333,0.36079,0.90207,0.000749417,0.000749417,0.000749417
141,1686.24,1.06624,0.5594,0.96181,0.99871,0.97917,0.98739,0.78535,0.81651,0.36664,0.90903,0.000742815,0.000742815,0.000742815
142,1698.12,1.04607,0.54611,0.95317,0.99864,0.97917,0.99133,0.79069,0.79164,0.36087,0.90617,0.000736214,0.000736214,0.000736214
143,1710.01,1.06706,0.5538,0.94987,0.99767,0.97917,0.99269,0.79249,0.79159,0.3609,0.90391,0.000729613,0.000729613,0.000729613
144,1722.27,1.0501,0.55467,0.9507,0.99783,0.97917,0.99412,0.79362,0.78525,0.36716,0.90191,0.000723011,0.000723011,0.000723011
145,1734.12,1.05049,0.55117,0.94629,0.9993,0.97787,0.99363,0.79056,0.78271,0.36555,0.90313,0.00071641,0.00071641,0.00071641
146,1746,1.04632,0.54737,0.94301,0.99102,0.9875,0.99429,0.78105,0.80148,0.36674,0.90593,0.000709809,0.000709809,0.000709809
147,1757.81,1.04627,0.54663,0.95203,0.99855,0.975,0.99258,0.79275,0.77618,0.35764,0.90077,0.000703207,0.000703207,0.000703207
148,1769.67,1.05112,0.54692,0.94625,0.99872,0.975,0.99073,0.79749,0.75109,0.35925,0.8941,0.000696606,0.000696606,0.000696606
149,1781.51,1.0433,0.54546,0.94843,0.98967,0.98333,0.99146,0.78935,0.75431,0.35956,0.89475,0.000690005,0.000690005,0.000690005
150,1793.42,1.05102,0.54318,0.94495,0.99911,0.98121,0.99344,0.79697,0.77063,0.36302,0.8997,0.000683403,0.000683403,0.000683403
151,1805.24,1.04688,0.53943,0.94725,0.99883,0.98305,0.99119,0.79622,0.74838,0.3515,0.89082,0.000676802,0.000676802,0.000676802
152,1817.08,1.06391,0.54859,0.95055,0.99798,0.97917,0.99069,0.78991,0.76225,0.36024,0.89624,0.000670201,0.000670201,0.000670201
153,1828.93,1.04116,0.53964,0.94003,0.99846,0.97917,0.9933,0.7921,0.76888,0.36023,0.90005,0.000663599,0.000663599,0.000663599
154,1840.94,1.03943,0.53622,0.9426,0.9986,0.98333,0.99161,0.79092,0.76765,0.35888,0.89928,0.000656998,0.000656998,0.000656998
155,1852.84,1.04155,0.54326,0.94154,0.99858,0.98303,0.98722,0.78855,0.7824,0.36729,0.90316,0.000650397,0.000650397,0.000650397
156,1864.69,1.01798,0.52866,0.93617,0.99898,0.98311,0.99154,0.79312,0.75523,0.35322,0.89502,0.000643795,0.000643795,0.000643795
157,1876.57,1.04433,0.54435,0.94233,0.99907,0.98233,0.98739,0.78238,0.78104,0.35913,0.90465,0.000637194,0.000637194,0.000637194
158,1888.45,1.03085,0.53542,0.94257,0.99928,0.98284,0.98999,0.78872,0.76697,0.3575,0.90021,0.000630593,0.000630593,0.000630593
159,1900.28,1.03086,0.54375,0.94129,0.99892,0.98333,0.99237,0.80034,0.75863,0.34552,0.89706,0.000623991,0.000623991,0.000623991
