epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,1708.8,0.99198,0.50766,0.93483,0.99087,0.97747,0.98663,0.77854,0.79997,0.36049,0.89574,0.000148696,0.000148696,0.000148696
140,1720.64,1.01029,0.51533,0.94325,0.98024,0.98333,0.98664,0.78411,0.77694,0.35482,0.89096,0.000137694,0.000137694,0.000137694
141,1731.97,0.94865,0.46847,0.91789,0.98137,0.975,0.98447,0.78947,0.7841,0.36502,0.89343,0.000126692,0.000126692,0.000126692
142,1743.34,0.92152,0.46002,0.91592,0.98672,0.97187,0.98734,0.79119,0.79161,0.36284,0.89591,0.00011569,0.00011569,0.00011569
143,1754.68,0.91017,0.45261,0.90524,0.9895,0.975,0.98758,0.79624,0.78848,0.3589,0.89489,0.000104688,0.000104688,0.000104688
144,1766.01,0.90471,0.448,0.90308,0.9893,0.975,0.98692,0.79588,0.78075,0.35709,0.89131,9.36854e-05,9.36854e-05,9.36854e-05
145,1777.35,0.91504,0.45457,0.90769,0.98963,0.975,0.98811,0.79578,0.78881,0.36054,0.89269,8.26832e-05,8.26832e-05,8.26832e-05
146,1788.63,0.90817,0.45171,0.90852,0.98946,0.975,0.99002,0.79878,0.78468,0.35879,0.8933,7.1681e-05,7.1681e-05,7.1681e-05
147,1799.76,0.91272,0.45442,0.90736,0.98889,0.975,0.9903,0.79362,0.78259,0.35569,0.8932,6.06788e-05,6.06788e-05,6.06788e-05
148,1810.92,0.89362,0.44589,0.89683,0.98911,0.975,0.98966,0.79456,0.77484,0.35112,0.89203,4.96766e-05,4.96766e-05,4.96766e-05
149,1822.29,0.8993,0.44754,0.90754,0.98916,0.975,0.98871,0.79686,0.76941,0.34766,0.88929,3.86744e-05,3.86744e-05,3.86744e-05
150,1833.91,0.8887,0.43925,0.89838,0.98904,0.975,0.98974,0.79218,0.77176,0.35067,0.89041,2.76722e-05,2.76722e-05,2.76722e-05
